gameTime,label,position,confidence,half,team,visibility
1 - 0:1,Throw-in,1920,0.13134765625,1,,visible
1 - 0:2,Indirect free-kick,2640,0.2327880859375,1,,visible
1 - 0:7,Clearance,7200,0.19781494140625,1,,visible
1 - 0:7,Indirect free-kick,7200,0.1307373046875,1,,visible
1 - 0:8,Ball out of play,8960,0.113372802734375,1,,visible
1 - 0:12,Indirect free-kick,12560,0.1656494140625,1,,visible
1 - 0:12,Kick-off,12560,0.129974365234375,1,,visible
1 - 0:16,Throw-in,16400,0.10048294067382812,1,,visible
1 - 0:21,Throw-in,21280,0.1607869416475296,1,,visible
1 - 0:22,Throw-in,22480,0.12789154052734375,1,,visible
1 - 0:23,Clearance,23280,0.10384750366210938,1,,visible
1 - 0:27,Ball out of play,27120,0.1796875,1,,visible
1 - 0:27,Foul,27120,0.16748046875,1,,visible
1 - 0:28,Ball out of play,28080,0.252105712890625,1,,visible
1 - 0:29,Ball out of play,29120,0.12271881103515625,1,,visible
1 - 0:30,Throw-in,30960,0.168975830078125,1,,visible
1 - 0:30,Corner,30960,0.10167121887207031,1,,visible
1 - 0:32,Foul,32400,0.14469146728515625,1,,visible
1 - 0:34,Indirect free-kick,34160,0.1377105712890625,1,,visible
1 - 0:35,Ball out of play,35200,0.14105224609375,1,,visible
1 - 0:36,Throw-in,36400,0.14316558837890625,1,,visible
1 - 0:40,Foul,40400,0.1385650634765625,1,,visible
1 - 0:41,Ball out of play,41520,0.1395416259765625,1,,visible
1 - 0:43,Indirect free-kick,43920,0.15598678588867188,1,,visible
1 - 0:45,Foul,45280,0.13409423828125,1,,visible
1 - 0:45,Ball out of play,45680,0.1856689453125,1,,visible
1 - 0:48,Indirect free-kick,48000,0.1180572509765625,1,,visible
1 - 0:49,Ball out of play,49600,0.4637857973575592,1,,visible
1 - 0:50,Ball out of play,50480,0.3231048583984375,1,,visible
1 - 0:51,Ball out of play,51440,0.4144287109375,1,,visible
1 - 0:52,Ball out of play,52320,0.137358029683431,1,,visible
1 - 0:53,Throw-in,53520,0.140716552734375,1,,visible
1 - 0:58,Indirect free-kick,58720,0.24664306640625,1,,visible
1 - 0:59,Clearance,59520,0.1119384765625,1,,visible
1 - 0:59,Ball out of play,59520,0.12450027465820312,1,,visible
1 - 0:59,Indirect free-kick,59520,0.12883080376519096,1,,visible
1 - 0:59,Corner,59680,0.20751953125,1,,visible
1 - 0:59,Throw-in,59840,0.1326904296875,1,,visible
1 - 1:2,Ball out of play,62560,0.4584147036075592,1,,visible
1 - 1:3,Ball out of play,63520,0.35260009765625,1,,visible
1 - 1:4,Ball out of play,64400,0.1276071866353353,1,,visible
1 - 1:7,Ball out of play,67120,0.1114959716796875,1,,visible
1 - 1:9,Ball out of play,69600,0.11793136596679688,1,,visible
1 - 1:10,Ball out of play,70320,0.4783935546875,1,,visible
1 - 1:11,Ball out of play,71280,0.2764892578125,1,,visible
1 - 1:12,Ball out of play,72240,0.1819000244140625,1,,visible
1 - 1:13,Ball out of play,73600,0.12926673889160156,1,,visible
1 - 1:16,Ball out of play,76720,0.14241790771484375,1,,visible
1 - 1:21,Ball out of play,81040,0.1001739501953125,1,,visible
1 - 1:22,Indirect free-kick,82960,0.16252899169921875,1,,visible
1 - 1:22,Kick-off,82960,0.1084747314453125,1,,visible
1 - 1:26,Indirect free-kick,86880,0.2056121826171875,1,,visible
1 - 1:30,Indirect free-kick,90160,0.211151123046875,1,,visible
1 - 1:34,Indirect free-kick,94640,0.1459197998046875,1,,visible
1 - 1:37,Indirect free-kick,97280,0.22076416015625,1,,visible
1 - 1:38,Ball out of play,98640,0.1143951416015625,1,,visible
1 - 1:38,Indirect free-kick,98640,0.19795989990234375,1,,visible
1 - 1:41,Indirect free-kick,101360,0.18719482421875,1,,visible
1 - 1:42,Indirect free-kick,102800,0.27069091796875,1,,visible
1 - 1:42,Kick-off,102800,0.16342926025390625,1,,visible
1 - 1:45,Ball out of play,105280,0.11651611328125,1,,visible
1 - 1:45,Indirect free-kick,105440,0.158660888671875,1,,visible
1 - 1:46,Ball out of play,106400,0.1458587646484375,1,,visible
1 - 1:48,Indirect free-kick,108240,0.142120361328125,1,,visible
1 - 1:50,Throw-in,110480,0.23455810546875,1,,visible
1 - 1:54,Indirect free-kick,114000,0.164825439453125,1,,visible
1 - 1:54,Kick-off,114000,0.12902069091796875,1,,visible
1 - 1:56,Indirect free-kick,116720,0.151885986328125,1,,visible
1 - 2:0,Throw-in,120480,0.11954498291015625,1,,visible
1 - 2:2,Indirect free-kick,122720,0.17572021484375,1,,visible
1 - 2:5,Indirect free-kick,125200,0.1143341064453125,1,,visible
1 - 2:7,Indirect free-kick,127440,0.1560211181640625,1,,visible
1 - 2:7,Ball out of play,127520,0.14825057983398438,1,,visible
1 - 2:8,Clearance,128960,0.456939697265625,1,,visible
1 - 2:9,Corner,129039,0.12186431884765625,1,,visible
1 - 2:11,Ball out of play,131200,0.12313885158962673,1,,visible
1 - 2:12,Ball out of play,132080,0.51898193359375,1,,visible
1 - 2:12,Ball out of play,132960,0.15844959682888454,1,,visible
1 - 2:16,Ball out of play,136160,0.2476806640625,1,,visible
1 - 2:17,Ball out of play,137120,0.4637451171875,1,,visible
1 - 2:22,Throw-in,142160,0.51214599609375,1,,visible
1 - 2:23,Throw-in,143280,0.11822509765625,1,,visible
1 - 2:23,Indirect free-kick,143360,0.19305419921875,1,,visible
1 - 2:23,Direct free-kick,143360,0.1016693115234375,1,,visible
1 - 2:23,Foul,143520,0.1328125,1,,visible
1 - 2:23,Ball out of play,143600,0.399169921875,1,,visible
1 - 2:24,Ball out of play,144720,0.4722900390625,1,,visible
1 - 2:25,Ball out of play,145520,0.21114349365234375,1,,visible
1 - 2:27,Ball out of play,147200,0.12554931640625,1,,visible
1 - 2:29,Throw-in,149040,0.12237548828125,1,,visible
1 - 2:31,Ball out of play,151440,0.106231689453125,1,,visible
1 - 2:32,Throw-in,152480,0.24847412109375,1,,visible
1 - 2:41,Throw-in,161920,0.14571380615234375,1,,visible
1 - 2:43,Throw-in,163760,0.105926513671875,1,,visible
1 - 2:46,Clearance,166160,0.1160736083984375,1,,visible
1 - 2:46,Indirect free-kick,166160,0.278839111328125,1,,visible
1 - 2:50,Indirect free-kick,170320,0.10091400146484375,1,,visible
1 - 2:51,Indirect free-kick,171680,0.10660552978515625,1,,visible
1 - 2:55,Ball out of play,175440,0.192596435546875,1,,visible
1 - 3:0,Throw-in,180080,0.12566757202148438,1,,visible
1 - 3:3,Indirect free-kick,183280,0.136749267578125,1,,visible
1 - 3:4,Throw-in,184320,0.1165357165866428,1,,visible
1 - 3:5,Throw-in,185200,0.5447998046875,1,,visible
1 - 3:6,Indirect free-kick,186400,0.146453857421875,1,,visible
1 - 3:8,Foul,188240,0.1018524169921875,1,,visible
1 - 3:8,Indirect free-kick,188320,0.1199798583984375,1,,visible
1 - 3:8,Ball out of play,188480,0.1585693359375,1,,visible
1 - 3:9,Clearance,189920,0.2356414794921875,1,,visible
1 - 3:10,Indirect free-kick,190240,0.12646484375,1,,visible
1 - 3:10,Throw-in,190320,0.11258316040039062,1,,visible
1 - 3:16,Ball out of play,196560,0.213958740234375,1,,visible
1 - 3:20,Throw-in,200960,0.56927490234375,1,,visible
1 - 3:25,Ball out of play,205120,0.264862060546875,1,,visible
1 - 3:28,Indirect free-kick,208800,0.232330322265625,1,,visible
1 - 3:32,Throw-in,212800,0.459686279296875,1,,visible
1 - 3:35,Indirect free-kick,215360,0.274017333984375,1,,visible
1 - 3:35,Kick-off,215360,0.18029022216796875,1,,visible
1 - 3:37,Indirect free-kick,217760,0.12651824951171875,1,,visible
1 - 3:38,Clearance,218800,0.15997314453125,1,,visible
1 - 3:40,Clearance,220400,0.322021484375,1,,visible
1 - 3:40,Indirect free-kick,220800,0.134796142578125,1,,visible
1 - 3:42,Ball out of play,222560,0.17169189453125,1,,visible
1 - 3:47,Ball out of play,227280,0.1123809814453125,1,,visible
1 - 3:49,Throw-in,229840,0.12319077385796441,1,,visible
1 - 3:50,Throw-in,230400,0.63818359375,1,,visible
1 - 3:51,Throw-in,231200,0.14835993448893228,1,,visible
1 - 3:52,Indirect free-kick,232640,0.15252685546875,1,,visible
1 - 3:53,Ball out of play,233120,0.3423665463924408,1,,visible
1 - 3:55,Ball out of play,235440,0.15874481201171875,1,,visible
1 - 4:0,Throw-in,240800,0.3379109799861908,1,,visible
1 - 4:0,Corner,240800,0.1259257048368454,1,,visible
1 - 4:1,Ball out of play,241680,0.12397003173828125,1,,visible
1 - 4:2,Ball out of play,242800,0.5708821415901184,1,,visible
1 - 4:3,Ball out of play,243840,0.33367156982421875,1,,visible
1 - 4:12,Throw-in,252080,0.15243148803710938,1,,visible
1 - 4:16,Clearance,256399,0.14990234375,1,,visible
1 - 4:16,Indirect free-kick,256800,0.1678009033203125,1,,visible
1 - 4:16,Direct free-kick,256880,0.13173675537109375,1,,visible
1 - 4:17,Shots off target,257120,0.10589599609375,1,,visible
1 - 4:17,Ball out of play,257360,0.2607421875,1,,visible
1 - 4:18,Ball out of play,258240,0.21492883894178602,1,,visible
1 - 4:19,Ball out of play,259360,0.18060302734375,1,,visible
1 - 4:23,Indirect free-kick,263120,0.198638916015625,1,,visible
1 - 4:23,Ball out of play,263600,0.15689849853515625,1,,visible
